code,lib,inscrits,abstentions,votants,blancs,nuls,exprimes,LFI,REN,PSPP,RN,EELV,LR,REC,UPR,PARTI_ANIMAL,ECO_AU_CENTRE,ALLIANCE_RURAL,PCF,PATRIOTES,EUROPE_TERRITOIRES_ECOLOGIES,EQUINOXE,LO,ECO_POSI_ET_TERRITOIRE,42,NPA,DEFENDRE_LES_ENFANTS,ESPERANTO,FORTERESSE_EUROPE,43,FRANCE_LIBRE,10,PARTI_PIRATE,40,PARTI_DES_TRAVAILLEURS,PAIX_ET_DECROISSANCE,POUR_UNE-HUMANITE_SOUVERAINE,41,PARTI_CITOYENS_EUROPEENS,NOUVELLE_DONNE,ASSOCIATION_NATIONALE_DES_COMMUNISTES,45
29254,Saint-Martin-des-Champs,3491,1517,1974,18,32,1924,172,344,444,451,101,127,43,19,38,25,31,83,8,8,4,12,9,,3,,,,,,,,,,,,,,2,,
29255,Saint-Méen,655,249,406,5,5,396,21,63,52,136,21,32,13,2,12,7,15,15,2,,1,4,,,,,,,,,,,,,,,,,,,
29260,Saint-Renan,6793,3207,3586,57,32,3497,183,656,725,918,227,300,121,23,59,54,59,82,20,16,8,12,20,,4,,1,,,2,,,,2,,,,,2,,3
29261,Saint-Rivoal,157,65,92,0,0,92,22,1,19,13,16,3,3,,,,4,4,2,1,,1,,,,,,2,,,,1,,,,,,,,,
29256,Saint-Nic,659,255,404,2,5,397,16,79,80,119,28,19,9,4,9,5,17,3,4,2,1,1,,,,,,,,,,,,,,,,,1,,
29262,Saint-Sauveur,587,280,307,3,6,298,24,36,33,116,9,21,8,2,7,2,19,6,7,,,2,5,,,,,,,,,,,,,,1,,,,
29263,Saint-Ségal,892,393,499,9,4,486,34,76,98,140,22,27,13,10,10,7,18,11,2,6,1,1,5,,,,2,,,,,,,,,,,,3,,
29264,Saint-Servais,588,265,323,4,4,315,13,54,43,114,9,24,14,1,12,4,13,2,5,,4,,2,,,,,,,,,1,,,,,,,,,
29265,Sainte-Sève,836,341,495,9,3,483,18,83,123,108,26,36,12,7,16,10,20,14,1,3,4,1,1,,,,,,,,,,,,,,,,,,
29296,Tréméoc,1180,494,686,11,9,666,56,91,151,150,61,48,18,7,17,8,12,20,4,3,4,8,4,,2,,,,,,,1,,,,,,,1,,
29300,Le Trévoux,1320,589,731,17,12,702,53,83,145,204,41,26,39,11,18,13,18,19,16,1,3,4,3,,3,,1,,,,,,,,,,,,1,,
29297,Tréméven,1908,814,1094,21,23,1050,59,120,194,351,68,48,39,7,38,13,30,33,9,10,5,11,6,,2,,,,,3,4,,,,,,,,,,
29087,Le Juch,581,218,363,11,0,352,26,53,60,103,24,16,14,2,11,6,16,5,7,2,1,1,2,,3,,,,,,,,,,,,,,,,
29089,Kergloff,698,299,399,6,14,379,12,57,60,126,12,32,19,3,8,6,19,9,6,,,6,2,,1,,,,,,,,,,,,,,1,,
29133,Locquirec,1511,535,976,14,13,949,55,213,210,171,75,65,55,6,18,12,11,24,8,3,4,4,4,,3,,,,,,5,1,,,,,1,,1,,
29134,Locronan,761,297,464,6,5,453,34,65,82,88,58,33,14,8,13,7,12,10,8,5,5,3,5,,,,1,,,,,1,,,,,,,1,,
29135,Loctudy,4070,1602,2468,24,29,2415,126,501,568,480,138,203,129,27,31,28,45,74,15,10,4,13,11,,1,,,,,4,,,,,,,,,3,4,
29136,Locunolé,918,443,475,6,12,457,23,61,63,162,21,21,23,1,9,12,19,23,5,2,2,3,4,,2,,,,1,,,,,,,,,,,,
29218,Pont-Croix,1326,572,754,9,11,734,55,114,162,178,55,49,30,7,12,6,22,13,3,10,5,5,3,,2,,,,,,,2,,,,,,,1,,
29276,Sibiril,995,428,567,2,8,557,25,103,104,181,20,38,28,5,14,6,14,7,3,,2,5,,,2,,,,,,,,,,,,,,,,
29277,Sizun,1698,712,986,11,9,966,74,153,195,248,90,63,37,6,11,9,40,11,5,2,2,5,4,,8,,,,,,,1,,,1,,,,1,,
29116,Lanneuffret,112,52,60,3,3,54,,2,11,15,2,5,4,2,5,2,2,2,,,,,2,,,,,,,,,,,,,,,,,,
29067,Guerlesquin,1030,463,567,10,11,546,22,77,86,197,20,34,22,6,11,2,30,22,7,,,4,,,4,,,,,,,,,,2,,,,,,
29166,Ploéven,401,145,256,1,2,253,13,38,54,75,15,21,6,1,2,7,8,3,2,2,3,,2,,,,,,,,,,,,,,,,1,,
29167,Plogastel-Saint-Germain,1606,671,935,19,20,896,52,146,167,214,68,65,35,12,23,19,40,26,10,4,4,6,4,,,,,,,,,,,,,,,,1,,
29195,Plouguerneau,5766,2557,3209,27,57,3125,170,549,610,832,241,244,144,19,47,32,64,54,23,14,17,15,16,,6,2,,,,1,,2,5,,1,1,,,5,,
29196,Plouguin,1757,774,983,19,12,952,43,161,118,348,42,70,30,11,27,8,30,32,7,2,3,4,10,,3,,1,,,1,,,,,,,,1,,,
29197,Plouhinec,3486,1416,2070,24,37,2009,102,343,407,562,113,128,94,30,44,17,51,51,22,10,7,9,9,,3,,,,,2,,1,,,,,,,4,,
29198,Plouider,1564,679,885,12,11,862,36,146,185,259,61,68,21,2,16,10,13,17,5,4,3,2,9,,,,,,,,,,,,1,,,,3,,
29244,Saint-Derrien,589,283,306,4,6,296,5,49,41,124,8,28,5,6,2,1,12,3,1,,,3,3,,3,,,1,,,,,,,,,,,1,,
29126,Loc-Brévalaire,175,59,116,0,2,114,5,27,6,39,4,10,7,,2,1,6,2,3,1,,,,,,,,,,,,,,,,,,,1,,
29036,Collorec,465,219,246,1,3,242,22,29,32,97,9,4,5,7,6,1,25,,1,,,,,,4,,,,,,,,,,,,,,,,
29037,Combrit,3932,1493,2439,13,22,2404,113,505,583,441,185,215,92,25,49,26,32,44,21,5,13,15,15,,3,,1,,,1,7,,,,,,4,,8,,
29038,Commana,839,357,482,4,0,478,42,63,78,130,40,15,24,5,3,11,23,8,5,6,5,7,1,,5,,1,,,,,3,,,3,,,,,,
29039,Concarneau,18333,8360,9973,103,143,9727,580,1819,2102,2247,623,730,438,116,190,144,142,255,83,47,32,44,47,3,22,9,5,1,,,,5,,,,,,,19,,6
29040,Le Conquet,2522,987,1535,7,17,1511,48,346,334,341,105,122,69,18,29,24,19,22,17,1,4,5,3,,1,,1,,,,,1,,,,,,,1,,
29077,Guissény,1688,704,984,13,27,944,60,180,162,262,52,82,35,8,17,13,18,20,7,7,,10,5,,2,,1,,,1,,,,,,,,,2,,
29099,Lampaul-Ploudalmézeau,719,301,418,2,4,412,29,64,84,105,33,28,15,,14,9,11,9,2,1,1,2,1,,4,,,,,,,,,,,,,,,,
29100,Lanarvily,331,137,194,0,1,193,11,25,29,45,18,30,6,2,4,2,6,4,2,4,,3,1,,1,,,,,,,,,,,,,,,,
29268,Saint-Thonan,1346,535,811,13,4,794,41,157,146,205,66,56,20,3,12,8,45,14,6,3,1,7,4,,,,,,,,,,,,,,,,,,
29269,Saint-Thurien,760,310,450,5,10,435,22,50,59,182,32,15,11,13,14,2,10,5,2,4,3,5,3,,1,,1,,,,,,,,,,,,1,,
29270,Saint-Urbain,1254,511,743,6,11,726,49,114,159,185,52,49,26,11,13,11,17,19,4,1,5,7,1,,1,,,,,,,1,,1,,,,,,,
29271,Saint-Vougay,689,277,412,4,11,397,12,69,41,152,16,50,13,4,4,8,12,5,3,2,1,2,2,,1,,,,,,,,,,,,,,,,
29272,Saint-Yvi,2531,1002,1529,23,29,1477,91,234,251,413,91,105,38,8,44,37,45,57,20,8,6,11,9,,6,,2,,,,,,,,,,,,,,
29273,Santec,2140,951,1189,31,22,1136,49,239,244,281,77,85,33,10,9,15,28,33,8,4,6,3,1,,8,,2,,,,,,,,1,,,,,,
30008,Allègre-les-Fumades,764,348,416,4,1,411,23,43,47,183,18,19,23,5,9,2,14,12,9,1,1,,2,,,,,,,,,,,,,,,,,,
30091,Congénies,1366,549,817,11,12,794,47,78,171,272,51,30,35,7,18,20,18,24,6,,3,3,3,,2,,,,,,,1,,,1,,1,,3,,
30103,Domazan,846,362,484,9,5,470,19,60,46,207,29,30,36,4,6,5,13,7,3,1,1,,1,,1,,,,,,,,,,1,,,,,,
30113,Fons-sur-Lussan,231,61,170,0,3,167,8,15,39,43,10,7,11,,4,3,11,7,4,,1,,2,,1,,,,1,,,,,,,,,,,,
30124,Le Garn,232,88,144,3,4,137,6,32,22,34,12,3,6,,2,,8,6,4,,,,2,,,,,,,,,,,,,,,,,,
30147,Lézan,1172,588,584,11,9,564,56,68,84,207,15,17,37,10,15,5,17,20,5,1,,2,1,,2,,,,,,,,,,1,,1,,,,
30163,Mauressargues,136,52,84,4,1,79,8,1,20,33,5,3,,1,,,4,3,,,,1,,,,,,,,,,,,,,,,,,,
30244,Saint-Clément,291,110,181,1,3,177,9,16,18,84,8,6,11,3,9,2,5,,5,,,,1,,,,,,,,,,,,,,,,,,
30288,Saint-Nazaire,818,363,455,9,4,442,47,31,72,193,8,13,27,6,7,2,8,17,3,1,,3,,,1,,,,,,,,,,,,1,,,,2
30021,Aubussargues,304,116,188,0,3,185,7,24,22,74,11,13,12,,4,1,11,4,2,,,,,,,,,,,,,,,,,,,,,,
30050,Bragassargues,111,29,82,1,0,81,4,8,10,25,9,2,6,1,,2,2,11,,,,,,,,,,,,,,,,,,,1,,,,
30104,Domessargues,658,256,402,10,5,387,27,19,40,160,8,18,18,5,8,5,10,55,6,,2,5,1,,,,,,,,,,,,,,,,,,
30136,Junas,984,412,572,12,5,555,65,75,99,179,31,24,20,5,11,7,5,14,7,4,4,3,1,,1,,,,,,,,,,,,,,,,
30185,Mus,1272,547,725,9,9,707,49,79,89,308,26,42,36,8,8,13,15,15,5,1,2,2,4,,,,2,,,,,,,,,,1,,,,
30211,Redessan,3106,1505,1601,19,21,1561,117,132,130,820,48,60,92,15,19,13,35,40,20,3,,9,6,,1,,,,,,,,,,,,,,,,1
30281,Saint-Mamert-du-Gard,1203,467,736,11,8,717,37,61,105,308,54,32,33,9,7,10,23,23,6,1,3,1,3,,1,,,,,,,,,,,,,,,,
30300,Saint-Théodorit,388,156,232,4,2,226,14,19,29,104,10,6,17,3,4,2,5,9,2,,,,1,,1,,,,,,,,,,,,,,,,
30356,Rodilhan,2087,877,1210,21,16,1173,75,135,139,551,40,55,82,3,19,10,13,29,8,2,3,4,5,,,,,,,,,,,,,,,,,,
30035,Belvézet,217,80,137,1,2,134,29,10,24,31,21,4,2,2,2,3,1,2,,,1,,,,,,,,,,,,,,2,,,,,,
30071,Cassagnoles,346,101,245,9,4,232,18,19,22,104,11,20,10,1,3,4,7,11,,1,,,1,,,,,,,,,,,,,,,,,,
30107,Estézargues,442,145,297,2,3,292,16,39,30,118,13,17,15,4,4,8,12,8,2,3,1,,,,1,,,,,,,,,,,,,,1,,
30150,Logrian-Florian,210,57,153,0,6,147,16,9,6,74,7,6,8,1,3,1,2,7,2,,,,3,,1,1,,,,,,,,,,,,,,,
30155,Manduel,5460,2481,2979,40,23,2916,210,292,255,1428,77,156,182,34,45,33,52,75,38,4,4,10,13,,3,,1,,,2,,1,,,,,1,,,,
30186,Nages-et-Solorgues,1718,630,1088,8,6,1074,68,178,121,384,55,87,67,8,10,20,20,20,10,6,6,5,4,,,,1,,,,,,,,,2,1,,,,1
30196,Le Pin,369,114,255,4,4,247,16,26,32,104,7,5,20,1,6,2,11,10,2,2,,1,1,,,,1,,,,,,,,,,,,,,
30224,La Rouvière,439,167,272,2,6,264,14,15,29,142,10,13,18,1,5,2,2,11,1,,1,,,,,,,,,,,,,,,,,,,,
30250,Saint-Étienne-de-l'Olm,300,119,181,6,0,175,8,17,22,58,14,6,14,2,5,2,6,10,7,,,2,1,,1,,,,,,,,,,,,,,,,
30335,Vabres,111,33,78,2,1,75,15,9,7,22,7,2,6,2,,,,2,2,,,,1,,,,,,,,,,,,,,,,,,
30158,Martignargues,325,121,204,4,4,196,21,19,19,82,7,12,10,1,5,4,7,7,,1,,,,,1,,,,,,,,,,,,,,,,
30274,Saint-Julien-les-Rosiers,2857,1246,1611,26,14,1571,130,125,156,717,41,45,100,10,22,16,26,138,22,3,3,8,6,,1,,,,,,,,,1,,,1,,,,
30275,Saint-Just-et-Vacquières,263,84,179,3,3,173,7,9,23,75,10,13,9,,1,2,12,4,2,,,2,1,,,,,1,,,,,,2,,,,,,,
30276,Saint-Laurent-d'Aigouze,3043,1321,1722,26,23,1673,80,160,130,911,36,86,82,11,22,8,68,42,16,1,6,5,5,,2,,,,,,,,,,,,2,,,,
30336,Vallabrègues,1060,447,613,5,7,601,25,52,51,309,35,25,34,6,9,6,24,12,4,,1,3,4,,1,,,,,,,,,,,,,,,,
30338,Vallérargues,116,37,79,0,1,78,1,3,27,26,5,5,1,,2,2,1,1,1,2,,1,,,,,,,,,,,,,,,,,,,
30339,Val-d'Aigoual,1262,481,781,11,8,762,74,100,129,210,59,32,37,4,11,10,47,22,7,2,,6,5,,3,,,1,,,,,,,2,,1,,,,
30082,Clarensac,3532,1498,2034,26,24,1984,110,276,276,798,88,117,101,18,23,31,45,44,18,9,5,4,11,,2,1,1,,,,,2,1,,,,3,,,,
30283,Saint-Martial,204,87,117,1,1,115,7,8,19,34,14,1,2,3,3,1,10,3,2,,2,4,,,2,,,,,,,,,,,,,,,,
30284,Saint-Martin-de-Valgalgues,3456,1583,1873,21,44,1808,249,151,134,707,47,56,87,16,27,15,35,259,12,,2,7,3,,,,,,,,,,,,,,1,,,,
30306,Salinelles,434,153,281,5,2,274,12,31,43,109,11,16,11,2,4,6,9,6,5,2,,3,3,,,,,,,1,,,,,,,,,,,
30170,Molières-Cavaillac,711,289,422,12,10,400,45,44,52,123,29,21,9,4,8,8,17,24,7,1,,3,2,,3,,,,,,,,,,,,,,,,
30171,Molières-sur-Cèze,926,501,425,8,6,411,67,32,39,157,15,7,25,6,14,2,6,25,8,1,,2,2,,2,,,,,,,1,,,,,,,,,
30172,Monoblet,570,197,373,10,4,359,69,27,73,69,60,6,7,9,4,6,9,7,5,,2,1,2,,2,,,,,,,,,,1,,,,,,
30182,Montpezat,1040,438,602,11,5,586,53,54,80,241,34,21,27,8,14,,14,20,7,1,1,2,3,,1,,,,,,,2,,,,,,,3,,
30019,Aubais,2348,941,1407,13,12,1382,97,166,215,498,108,79,80,14,29,17,28,20,13,3,2,3,8,,,,1,,,,,1,,,,,,,,,
30020,Aubord,1855,806,1049,12,10,1027,45,104,94,552,22,63,57,4,18,6,24,20,6,2,1,,4,,2,,,,,,,2,,,,,,,1,,
30264,Saint-Jean-de-Ceyrargues,147,56,91,0,1,90,1,10,6,38,6,9,9,,2,1,3,4,,,,,,,,,,,,,,,,,,,1,,,,
30017,Arrigas,216,59,157,2,1,154,18,17,23,40,16,2,8,6,2,,9,2,2,3,4,,,,1,,,,,,,,,,1,,,,,,
30006,Aimargues,4182,2043,2139,19,26,2094,183,160,170,1094,51,107,117,14,33,9,63,41,29,4,4,4,4,,1,,3,,,,,1,,,,,,,,,2
30007,Alès,26561,13893,12668,143,181,12344,1649,1401,1333,4546,396,638,758,129,194,92,204,656,153,24,24,52,55,1,26,,4,,,,,2,,,,,5,1,,1,
30065,Canaules-et-Argentières,394,154,240,6,6,228,29,13,25,97,12,12,13,2,5,2,9,4,2,,,1,,,2,,,,,,,,,,,,,,,,
30083,Codognan,2215,983,1232,15,15,1202,87,111,110,600,43,56,58,10,18,17,28,28,15,2,2,7,5,,4,,,,,,,1,,,,,,,,,
30084,Codolet,499,173,326,2,3,321,15,27,23,177,5,11,32,3,4,1,5,6,3,,3,2,1,,2,,,,,,,,,,,,1,,,,
30097,Courry,272,96,176,1,3,172,11,13,30,46,11,9,11,5,4,1,5,16,2,,1,2,,,3,,,,,,,,,,2,,,,,,
30098,Crespian,349,144,205,3,3,199,9,21,22,90,16,11,7,2,3,5,2,4,1,,2,,1,,2,,,,,,,,,,,,,,1,,
30099,Cros,255,76,179,0,2,177,22,18,36,27,25,6,7,2,10,2,8,6,5,,1,,1,,,,,,1,,,,,,,,,,,,
30102,Dions,421,164,257,0,4,253,24,30,28,97,9,8,26,1,6,4,2,6,8,,2,1,1,,,,,,,,,,,,,,,,,,
30126,Garrigues-Sainte-Eulalie,618,240,378,4,1,373,5,63,50,149,27,27,15,1,9,6,6,6,5,,1,,2,,,,,,,,,,,,1,,,,,,
30128,Générac,3215,1469,1746,25,10,1711,67,186,162,826,57,125,98,13,32,15,54,33,17,3,7,6,8,,1,,,,,,,,,,,,1,,,,
30142,Laval-Pradel,935,392,543,7,4,532,36,46,28,235,29,11,35,7,9,3,10,68,8,3,,,,,3,,,,,,,,,,1,,,,,,
30143,Laval-Saint-Roman,189,63,126,0,0,126,8,22,13,58,2,7,3,,2,,2,5,,1,1,,1,,,,,,,,,,,,,,1,,,,
30161,Massanes,151,56,95,3,3,89,10,7,5,31,6,7,6,1,4,1,4,5,,,1,,,,1,,,,,,,,,,,,,,,,
30248,Saint-Dézéry,341,122,219,4,2,213,14,14,43,88,8,13,7,2,7,6,4,3,2,1,,,,,,,,,,,,,,,,,1,,,,
30262,Saint-Hippolyte-de-Montaigu,222,89,133,1,4,128,7,13,29,35,3,9,10,,9,5,2,3,,,1,2,,,,,,,,,,,,,,,,,,,
30270,Saint-Jean-du-Pin,1160,415,745,6,9,730,61,67,104,267,27,31,41,6,9,4,26,68,6,2,1,2,5,,1,,,,,,2,,,,,,,,,,
30277,Saint-Laurent-de-Carnols,402,142,260,6,6,248,6,25,27,116,9,13,24,7,1,3,5,7,4,,,,,,1,,,,,,,,,,,,,,,,
30278,Saint-Laurent-des-Arbres,2232,894,1338,14,11,1313,96,142,154,544,43,83,79,17,31,17,31,40,11,4,4,6,7,,1,,,,,,,,,,,,2,,,,1
30279,Saint-Laurent-la-Vernède,571,213,358,5,0,353,15,45,61,142,6,16,15,4,12,3,14,14,2,,2,,1,,1,,,,,,,,,,,,,,,,
30280,Saint-Laurent-le-Minier,304,119,185,3,0,182,28,19,22,48,19,6,5,6,4,3,9,6,2,,1,2,,,1,,,,,,,,,,,,1,,,,
30328,Théziers,898,382,516,3,3,510,37,33,49,277,14,11,40,4,10,2,12,6,7,1,2,2,2,,1,,,,,,,,,,,,,,,,
30318,Servas,179,57,122,4,1,117,5,10,15,59,3,11,2,,1,4,2,2,3,,,,,,,,,,,,,,,,,,,,,,
30324,Souvignargues,760,288,472,8,4,460,32,51,79,148,21,32,26,10,7,11,18,9,10,,,1,3,,1,,,,1,,,,,,,,,,,,
30043,Boissières,500,152,348,2,5,341,17,61,40,146,19,17,21,2,4,1,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,
30080,Chamborigaud,572,230,342,5,7,330,47,30,42,94,14,5,20,1,3,3,7,53,6,,2,3,,,,,,,,,,,,,,,,,,,
30081,Chusclan,861,346,515,10,9,496,21,53,59,237,11,39,26,2,3,8,15,10,8,,1,1,,,1,,,,,,,,,,,,1,,,,
30116,Fournès,853,439,414,5,4,405,34,31,49,204,11,13,14,6,7,7,10,6,8,2,,,2,,1,,,,,,,,,,,,,,,,
30146,Lédignan,1174,532,642,2,8,632,32,67,82,281,22,24,34,7,15,5,17,34,4,,2,,5,,1,,,,,,,,,,,,,,,,
30242,Saint-Christol-de-Rodières,157,47,110,3,0,107,9,7,24,26,13,3,2,5,5,1,6,3,1,,1,,1,,,,,,,,,,,,,,,,,,
30243,Saint-Christol-lez-Alès,6074,2848,3226,43,50,3133,290,361,319,1347,111,163,160,23,36,40,71,134,39,1,3,8,20,,,1,3,,,1,,,,,,,1,1,,,
30286,Saint-Maximin,651,242,409,5,8,396,26,63,48,139,23,20,24,5,5,7,13,9,4,3,1,3,1,,1,,,,,,,,,,,,,,1,,
30287,Saint-Michel-d'Euzet,590,235,355,7,2,346,11,41,45,151,5,20,32,1,9,4,10,8,2,,,1,4,,,,1,,,,,,,,1,,,,,,
30289,Saint-Nazaire-des-Gardies,76,21,55,1,0,54,1,10,7,16,1,5,1,6,1,,2,4,,,,,,,,,,,,,,,,,,,,,,,
30290,Saint-Paulet-de-Caisson,1650,665,985,20,16,949,32,121,122,401,32,46,68,8,23,6,35,28,14,3,3,3,4,,,,,,,,,,,,,,,,,,
30291,Saint-Paul-la-Coste,312,124,188,4,1,183,18,17,28,63,4,13,14,4,3,,5,12,,,,1,1,,,,,,,,,,,,,,,,,,
30292,Saint-Pons-la-Calm,396,129,267,4,3,260,6,29,28,121,8,17,16,1,7,3,9,5,4,3,,1,2,,,,,,,,,,,,,,,,,,
30317,Sernhac,1206,529,677,16,10,651,46,55,68,335,8,30,44,7,11,7,11,12,5,3,,4,4,,,,,,,,,,,,,,1,,,,
30018,Aspères,414,166,248,4,3,241,22,34,34,76,21,9,15,5,3,3,9,1,2,4,,2,1,,,,,,,,,,,,,,,,,,
30085,Collias,914,317,597,12,6,579,36,76,83,236,39,14,33,,7,8,16,15,8,1,2,1,,,,,,,,,,,,,,,4,,,,
30086,Collorgues,509,200,309,2,6,301,18,23,51,133,20,6,13,5,2,3,5,10,2,,4,1,2,,1,1,1,,,,,,,,,,,,,,
30087,Colognac,203,74,129,1,2,126,25,15,31,20,11,2,3,,2,2,7,7,,,,1,,,,,,,,,,,,,,,,,,,
30188,Ners,618,229,389,6,9,374,40,26,54,174,13,19,11,4,8,,13,6,2,,,2,1,,1,,,,,,,,,,,,,,,,
30014,Arpaillargues-et-Aureillac,883,337,546,9,4,533,37,84,79,174,35,25,35,7,14,11,11,8,5,,3,2,,,1,,,,,,,,,,,,1,1,,,
30015,Arphy,147,55,92,1,0,91,12,12,8,22,9,2,6,3,2,2,7,2,1,,1,2,,,,,,,,,,,,,,,,,,,
30025,Aumessas,229,77,152,1,3,148,19,12,32,38,11,8,9,,2,3,2,7,1,,,2,1,,1,,,,,,,,,,,,,,,,
30026,Avèze,854,395,459,9,5,445,42,35,75,161,29,14,30,11,6,4,15,13,2,1,,1,5,,1,,,,,,,,,,,,,,,,
30027,Bagard,2064,848,1216,18,29,1169,72,102,126,524,29,52,67,20,30,13,33,70,10,3,3,4,4,,1,,,,,,,1,,,,,,,1,,
30028,Bagnols-sur-Cèze,12970,6636,6334,52,81,6201,824,698,712,2548,152,301,385,48,95,41,65,147,72,8,16,20,27,,7,9,2,3,,2,,2,,,,,5,,1,,11
30032,Beaucaire,11039,5442,5597,52,76,5469,736,356,371,2888,93,162,290,57,92,28,116,152,46,9,8,20,17,2,6,,,,,7,5,2,,,1,,3,2,,,
30036,Bernis,2217,820,1397,14,17,1366,72,124,113,687,32,73,95,12,24,17,46,35,9,5,3,4,3,,3,,,,,,9,,,,,,,,,,
30037,Bessèges,1973,1069,904,7,18,879,53,91,103,383,24,28,50,20,13,15,25,46,11,1,2,7,2,,4,,,,,,,,,,,,1,,,,
30047,Bouillargues,5029,2135,2894,33,20,2841,168,375,307,1271,91,154,172,32,39,35,63,71,25,2,5,7,16,,2,,3,,,,,,,,,,3,,,,
30048,Bouquet,180,62,118,1,1,116,14,7,20,32,16,3,11,1,3,1,2,3,1,,,,1,,,,1,,,,,,,,,,,,,,
30051,Branoux-les-Taillades,1086,463,623,6,9,608,41,58,43,290,8,14,23,6,5,5,13,88,6,,2,3,,2,1,,,,,,,,,,,,,,,,
30052,Bréau-Mars,523,177,346,7,5,334,34,28,66,97,27,13,11,8,5,3,14,10,8,1,2,3,1,,1,,,,,,,,,,,,,,2,,
30053,Brignon,569,257,312,3,8,301,13,39,47,138,10,12,11,5,,4,3,5,3,,3,3,4,,,,,1,,,,,,,,,,,,,
30054,Brouzet-lès-Quissac,221,73,148,1,1,146,11,11,24,63,9,5,1,5,6,,4,2,3,,1,,,,1,,,,,,,,,,,,,,,,
30055,Brouzet-lès-Alès,500,165,335,7,2,326,9,26,72,138,16,11,17,5,5,4,6,9,4,1,,1,1,,,,,,,,,,,,,,1,,,,
30101,Deaux,520,201,319,10,4,305,24,20,33,128,10,15,15,1,13,5,11,18,3,,,,6,,1,,,,,,,,,,,,2,,,,
30138,Langlade,1960,755,1205,9,5,1191,53,178,162,475,47,95,74,9,12,13,27,26,15,,,1,2,,,,1,,,,,1,,,,,,,,,
30139,Lanuéjols,308,99,209,2,9,198,5,16,20,73,6,8,13,2,1,,48,2,1,,,1,2,,,,,,,,,,,,,,,,,,
30140,Lasalle,950,373,577,10,4,563,130,47,102,118,60,10,13,5,10,4,21,22,9,1,3,2,2,,3,,,,,,,,,,,,1,,,,
30141,Laudun-l'Ardoise,4427,2081,2346,23,31,2292,172,234,231,1099,62,94,139,23,38,23,52,64,31,5,3,9,7,,1,,,,,,,3,,,,,2,,,,
30189,Nîmes,92343,48117,44226,388,379,43459,6691,5571,6343,12960,2206,2643,2823,442,633,335,389,1352,387,64,107,108,166,9,62,12,10,3,1,22,,14,1,7,4,,30,13,6,8,34
30191,Orsan,920,350,570,11,6,553,21,61,43,270,22,35,43,2,12,4,23,5,7,1,,1,2,,1,,,,,,,,,,,,,,,,
30192,Orthoux-Sérignac-Quilhan,377,109,268,2,1,265,19,30,47,91,20,18,9,5,4,4,8,3,2,,3,,,,,,,,,,,2,,,,,,,,,
30194,Peyremale,233,89,144,4,8,132,20,10,26,36,11,2,1,2,3,3,4,7,2,1,,3,,,1,,,,,,,,,,,,,,,,
30195,Peyrolles,39,12,27,0,0,27,4,1,7,4,4,,2,,,,3,1,,,,,,,1,,,,,,,,,,,,,,,,
30200,Pompignan,667,214,453,12,8,433,30,37,94,125,32,16,31,7,7,6,18,12,7,,2,6,,,1,,,,,,,,,,2,,,,,,
30201,Ponteils-et-Brésis,298,105,193,1,0,192,24,25,31,57,11,9,6,2,2,1,15,5,1,,2,,,,,,,,,,,1,,,,,,,,,
30216,Robiac-Rochessadoule,621,237,384,8,7,369,45,33,32,142,10,13,26,9,8,4,15,21,4,,1,2,3,,,,,,,,,,,,1,,,,,,
30217,Rochefort-du-Gard,6419,2597,3822,29,25,3768,251,496,435,1563,147,242,256,41,76,45,70,48,45,9,15,7,13,,1,,1,1,,,,,,,,,4,,,2,
30218,Rochegude,202,48,154,3,3,148,16,22,11,35,9,6,12,2,6,3,16,8,,,,1,,,,,,,,,,,,,,,1,,,,
30219,Rogues,96,33,63,0,1,62,2,8,13,23,2,3,2,2,3,1,1,,,,,1,,,1,,,,,,,,,,,,,,,,
30220,Roquedur,183,76,107,0,0,107,23,9,19,9,23,4,5,,,,7,1,1,,1,2,1,,1,,,,,,,,,,,,1,,,,
30221,Roquemaure,3896,1711,2185,19,27,2139,234,233,202,967,54,87,115,26,50,13,50,34,25,4,7,6,7,,5,6,,,,,,,,,,,1,,,1,12
30226,Saint-Alexandre,982,384,598,7,9,582,25,67,59,254,11,34,52,8,11,4,15,18,12,,2,3,2,,,,,,,,,,,,,,5,,,,
30227,Saint-Ambroix,2530,1226,1304,28,19,1257,57,124,116,565,45,63,84,27,21,11,37,67,21,1,2,8,5,,1,,,,,,,,,1,,,1,,,,
30272,Saint-Julien-de-la-Nef,160,57,103,1,3,99,7,14,7,25,10,3,6,1,3,,8,6,4,,,,1,,,,,4,,,,,,,,,,,,,
30273,Saint-Julien-de-Peyrolas,1146,505,641,7,3,631,41,58,66,293,17,20,42,17,2,7,18,19,18,2,2,5,4,,,,,,,,,,,,,,,,,,
30303,Saint-Victor-de-Malcap,680,265,415,6,9,400,17,48,57,173,7,13,21,4,7,2,17,18,6,1,,7,1,,,,,,,,,,,,,,1,,,,
30304,Salazac,180,64,116,3,2,111,9,9,18,34,8,4,3,1,3,3,12,2,3,,,1,,,1,,,,,,,,,,,,,,,,
30305,Salindres,2817,1379,1438,23,23,1392,88,99,121,738,24,42,87,14,30,11,18,84,14,7,1,3,3,,4,,1,1,,,,1,,,,,,,,,
30323,Soustelle,122,41,81,0,0,81,15,6,16,18,3,5,3,,,3,5,2,4,,,1,,,,,,,,,,,,,,,,,,,
