code,lib,inscrits,abstentions,votants,blancs,nuls,exprimes,LFI,REN,PSPP,RN,EELV,LR,REC,UPR,PARTI_ANIMAL,ECO_AU_CENTRE,ALLIANCE_RURAL,PCF,PATRIOTES,EUROPE_TERRITOIRES_ECOLOGIES,EQUINOXE,LO,ECO_POSI_ET_TERRITOIRE,42,NPA,DEFENDRE_LES_ENFANTS,ESPERANTO,FORTERESSE_EUROPE,43,FRANCE_LIBRE,10,PARTI_PIRATE,40,PARTI_DES_TRAVAILLEURS,PAIX_ET_DECROISSANCE,POUR_UNE-HUMANITE_SOUVERAINE,41,PARTI_CITOYENS_EUROPEENS,NOUVELLE_DONNE,ASSOCIATION_NATIONALE_DES_COMMUNISTES,45
63269,Parent,683,283,400,8,2,390,31,49,92,96,31,21,8,3,9,5,7,20,2,5,2,4,3,,,,,,,,,,,,,,2,,,,
63431,Thiolières,151,61,90,2,3,85,2,6,17,37,1,6,3,,2,3,2,5,,,,1,,,,,,,,,,,,,,,,,,,
63123,Cournols,192,49,143,0,3,140,4,15,12,32,6,28,23,1,1,1,6,8,,1,,1,1,,,,,,,,,,,,,,,,,,
63162,Fournols,325,166,159,3,3,153,17,24,16,41,6,8,7,2,2,3,4,16,4,,,1,1,,,,,,,,,,,,,,,,1,,
63182,Jumeaux,434,176,258,13,10,235,5,18,32,104,8,12,15,,6,3,7,20,1,,,1,2,,1,,,,,,,,,,,,,,,,
63015,Aubusson-d'Auvergne,205,100,105,5,3,97,5,18,14,29,10,1,1,1,3,1,1,7,3,,,,,,2,,,,,,,1,,,,,,,,,
63174,Grandval,125,44,81,1,5,75,9,8,17,16,2,,3,2,,,2,12,1,,2,,1,,,,,,,,,,,,,,,,,,
63201,Luzillat,853,388,465,6,10,449,26,52,52,182,15,26,18,5,15,4,14,30,5,,1,3,,,,,,,,,,,,,,,,,1,,
63202,Madriat,110,41,69,2,1,66,5,11,12,17,1,6,3,,,,5,3,,,2,,1,,,,,,,,,,,,,,,,,,
63203,Malauzat,929,305,624,13,7,604,29,105,102,160,40,54,31,4,17,9,14,26,4,,4,,,,1,,,,,,,2,,,,,,,2,,
63277,Peslières,50,15,35,2,0,33,1,4,4,15,1,,2,,,,1,4,1,,,,,,,,,,,,,,,,,,,,,,
63279,Picherande,333,121,212,10,8,194,10,28,18,58,5,26,6,,3,2,30,3,1,,,2,,,,,1,,,,,,,,,,,,1,,
63285,Pontgibaud,519,224,295,3,9,283,14,33,58,88,14,25,11,1,4,1,9,12,6,1,1,3,1,,1,,,,,,,,,,,,,,,,
63346,Saint-Genès-Champespe,226,89,137,10,4,123,3,13,9,48,3,19,5,1,2,1,14,1,,1,,,,,1,,,,,1,,,,,,,1,,,,
63347,Saint-Genès-du-Retz,427,140,287,7,8,272,13,32,43,99,8,22,12,4,5,3,14,13,1,1,1,,,,,,1,,,,,,,,,,,,,,
63373,Saint-Maigner,151,50,101,1,3,97,2,15,24,20,2,6,3,,2,2,14,6,1,,,,,,,,,,,,,,,,,,,,,,
63391,Saint-Rémy-de-Blot,198,79,119,1,4,114,16,9,19,30,7,4,5,3,2,1,5,7,4,,,,1,,,,,,,,,,,,,,1,,,,
63414,Sauviat,469,207,262,8,9,245,10,21,24,100,7,19,8,5,9,2,11,18,4,1,,5,,,1,,,,,,,,,,,,,,,,
63430,Thiers,7985,4447,3538,50,62,3426,432,418,477,1108,107,220,155,27,74,27,76,190,31,10,5,31,15,,6,,2,,,,,2,,,,,8,,5,,
63432,Thuret,639,282,357,4,11,342,13,44,46,123,11,37,10,3,9,5,11,21,4,1,,2,2,,,,,,,,,,,,,,,,,,
63444,Varennes-sur-Usson,212,94,118,3,1,114,6,10,12,49,6,7,3,1,1,1,10,5,1,,1,,1,,,,,,,,,,,,,,,,,,
63001,Aigueperse,1677,706,971,10,15,946,43,75,109,445,28,78,38,11,25,9,29,27,3,3,3,8,5,,2,,,,,,,2,,,,,,,3,,
63023,Auzelles,346,152,194,7,4,183,16,24,11,44,23,10,14,4,3,,10,13,,1,1,1,3,,2,,,,,,,,,,,,,,2,1,
63041,Biollet,257,103,154,4,2,148,16,11,25,41,8,8,2,2,4,,11,15,2,,1,2,,,,,,,,,,,,,,,,,,,
63042,Blanzat,2840,1214,1626,25,25,1576,116,215,320,405,73,131,75,15,26,23,28,122,6,7,4,7,2,,,,,,,,,,,,,,1,,,,
63043,Blot-l'Église,381,156,225,5,7,213,21,21,21,66,13,3,11,7,7,4,17,14,1,,2,2,,,3,,,,,,,,,,,,,,,,
63045,Bort-l'Étang,517,240,277,3,12,262,13,27,33,87,12,10,16,,6,3,20,33,,,,1,1,,,,,,,,,,,,,,,,,,
63093,Charbonnières-les-Vieilles,905,323,582,8,8,566,23,50,89,199,45,31,22,8,14,6,34,26,7,,2,3,3,,1,,,,,,,,,,,,1,,2,,
63095,Charnat,164,71,93,1,1,91,4,6,11,43,2,3,2,,2,1,5,8,4,,,,,,,,,,,,,,,,,,,,,,
63097,Chassagne,76,25,51,0,1,50,5,4,3,9,2,5,3,3,,2,13,1,,,,,,,,,,,,,,,,,,,,,,,
63110,Cisternes-la-Forêt,357,154,203,5,6,192,11,26,25,66,9,9,6,1,2,4,21,7,4,1,,,,,,,,,,,,,,,,,,,,,
63113,Clermont-Ferrand,74194,37661,36533,345,458,35730,5829,5005,6864,7130,2674,2632,1458,334,733,482,342,1096,282,110,138,179,125,15,92,5,12,4,1,5,11,46,1,5,6,,42,4,45,9,11
63124,Cournon-d'Auvergne,13902,5707,8195,104,161,7930,683,1217,1427,2343,403,515,322,74,189,128,120,302,50,26,26,41,26,6,8,2,3,,,2,1,2,,,2,,5,,2,,4
